customerID,Male,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumServices,AverageCharges,TenureBucket,TenureContract,HighPaying,CostPerService,ServiceRatio,PricePerTenureMonth,TenureMonthlyCharge,TenureNumServices
7590-VHVEG,False,False,True,False,1,False,False,True,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.85,29.85,False,2,14.925,<1 year,<1 yearMonth-to-month,False,4.9750000000000005,0.2222222222222222,0.0,29.85,2
5575-GNVDE,True,False,False,False,34,True,False,True,True,False,True,False,False,False,One year,False,Mailed check,56.95,1889.5,False,4,53.98571428571429,2-3 years,2-3 yearsOne year,False,10.797142857142855,0.4444444444444444,52.35857142857143,1936.3,136
3668-QPYBK,True,False,False,False,2,True,False,True,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.85,108.15,True,4,36.05,<1 year,<1 yearMonth-to-month,False,7.210000000000001,0.4444444444444444,18.1,107.7,8
7795-CFOCW,True,False,False,False,45,False,False,True,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.3,1840.75,False,4,40.016304347826086,3-4 years,3-4 yearsOne year,False,8.003260869565217,0.4444444444444444,39.096739130434784,1903.5,180
9237-HQITU,False,False,False,False,2,True,False,True,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.7,151.65,True,2,50.55,<1 year,<1 yearMonth-to-month,True,16.85,0.2222222222222222,26.98333333333333,141.4,4
9305-CDSKC,False,False,False,False,8,True,True,True,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.65,820.5,True,6,91.16666666666669,<1 year,<1 yearMonth-to-month,True,13.023809523809524,0.6666666666666666,80.09444444444445,797.2,48
1452-KIOVK,True,False,False,True,22,True,True,True,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.1,1949.4,False,5,84.75652173913043,1-2 years,1-2 yearsMonth-to-month,True,14.12608695652174,0.5555555555555556,80.88260869565218,1960.2,110
6713-OKOMC,False,False,False,False,10,False,False,True,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.9,False,2,27.44545454545454,<1 year,<1 yearMonth-to-month,False,9.148484848484848,0.2222222222222222,24.74090909090909,297.5,20
7892-POOKP,False,False,True,False,28,True,True,True,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.8,3046.05,True,7,105.03620689655172,2-3 years,2-3 yearsMonth-to-month,True,13.129525862068968,0.7777777777777778,101.42241379310344,2934.4,196
6388-TABGU,True,False,False,True,62,True,False,True,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.15,3487.95,False,4,55.364285714285714,5+ years,5+ yearsOne year,False,11.072857142857142,0.4444444444444444,54.47301587301587,3481.3,248
9763-GRSKD,True,False,True,True,13,True,False,True,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95,587.45,False,3,41.96071428571429,1-2 years,1-2 yearsMonth-to-month,False,10.490178571428572,0.3333333333333333,38.392857142857146,649.35,39
7469-LKBCI,True,False,False,False,16,True,False,False,False,False,False,False,False,False,Two year,False,Credit card (automatic),18.95,326.8,False,1,19.223529411764705,1-2 years,1-2 yearsTwo year,False,9.611764705882353,0.1111111111111111,18.108823529411765,303.2,16
8091-TTVAX,True,False,True,False,58,True,True,True,False,False,True,False,True,True,One year,False,Credit card (automatic),100.35,5681.1,False,6,96.28983050847458,4-5 years,4-5 yearsOne year,True,13.755690072639226,0.6666666666666666,94.58898305084746,5820.299999999999,348
0280-XJGEX,True,False,False,False,49,True,True,True,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,True,7,100.726,4-5 years,4-5 yearsMonth-to-month,True,12.59075,0.7777777777777778,98.652,5081.3,343
5129-JLPIS,True,False,False,False,25,True,False,True,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2686.05,False,7,103.3096153846154,2-3 years,2-3 yearsMonth-to-month,True,12.913701923076925,0.7777777777777778,99.25192307692308,2637.5,175
3655-SNQYZ,False,False,True,True,69,True,True,True,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7895.15,False,9,112.78785714285712,5+ years,5+ yearsTwo year,True,11.278785714285714,1.0,111.17,7814.25,621
8191-XWSZG,False,False,False,False,52,True,False,False,False,False,False,False,False,False,One year,False,Mailed check,20.65,1022.95,False,1,19.300943396226412,4-5 years,4-5 yearsOne year,False,9.650471698113208,0.1111111111111111,18.911320754716986,1073.8,52
9959-WOFKT,True,False,False,True,71,True,True,True,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.7,7382.25,False,7,102.53125,5+ years,5+ yearsTwo year,True,12.81640625,0.7777777777777778,101.04930555555556,7575.7,497
4190-MFLUW,False,False,True,True,10,True,False,True,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.2,528.35,True,4,48.03181818181818,<1 year,<1 yearMonth-to-month,False,9.606363636363636,0.4444444444444444,43.013636363636365,552.0,40
4183-MYFRB,False,False,False,False,21,True,False,True,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05,1862.9,False,5,84.67727272727274,1-2 years,1-2 yearsMonth-to-month,True,14.11287878787879,0.5555555555555556,80.58409090909092,1891.05,105
8779-QRDMV,True,True,False,False,1,False,False,True,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.65,39.65,True,3,19.825,<1 year,<1 yearMonth-to-month,False,4.95625,0.3333333333333333,0.0,39.65,3
1680-VDCWW,True,False,True,False,12,True,False,False,False,False,False,False,False,False,One year,False,Bank transfer (automatic),19.8,202.25,False,1,15.557692307692308,<1 year,<1 yearOne year,False,7.778846153846154,0.1111111111111111,14.034615384615384,237.6,12
1066-JKSGK,True,False,False,False,1,True,False,False,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.15,20.15,True,1,10.075,<1 year,<1 yearMonth-to-month,False,5.0375,0.1111111111111111,0.0,20.15,1
3638-WEABW,False,False,True,False,58,True,True,True,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.9,3505.1,False,5,59.40847457627118,4-5 years,4-5 yearsTwo year,False,9.90141242937853,0.5555555555555556,58.39322033898305,3474.2,290
6322-HRPFA,True,False,True,True,49,True,False,True,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.6,2970.3,False,5,59.406000000000006,4-5 years,4-5 yearsMonth-to-month,False,9.901000000000002,0.5555555555555556,58.214000000000006,2920.4,245
6865-JZNKO,False,False,False,False,30,True,False,True,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,False,4,49.37419354838709,2-3 years,2-3 yearsMonth-to-month,False,9.874838709677418,0.4444444444444444,47.59032258064516,1659.0,120
